Description	ID	Arabidopsis	Medicago	Coffe
AT1G01020.2	AT1G01060.5_0	1	0	0
AT1G01060.5	AT1G01073.1_1	7	2	1
AT1G01073.1	AT1G01080.2_2	1	0	0
AT1G01080.2	AT1G01110.1_3	8	6	2
AT1G01110.1	AT1G01115.1_4	1	0	0
AT1G01115.1	AT1G01150.1_5	1	0	0
AT1G01150.1	AT1G01240.3_6	1	0	0
AT1G01240.3	AT1G01305.1_7	3	0	0
AT1G01305.1	AT1G01310.1_8	1	0	0
AT1G01310.1	AT1G01355.1_9	1	0	0
AT1G01355.1	AT1G01380.1_10	1	0	0
AT1G01380.1	AT1G01400.1_11	6	3	0
AT1G01400.1	AT1G01410.1_12	1	0	0
AT1G01410.1	AT1G01450.1_13	1	0	0
AT1G01450.1	AT1G01471.1_14	1	0	0
AT1G01471.1	AT1G01530.1_15	1	0	0
AT1G01530.1	AT1G01550.2_16	2	0	0
AT1G01550.2	AT1G01680.1_17	4	9	1
AT1G01680.1	AT1G01690.1_18	2	0	0
AT1G01690.1	AT1G01695.1_19	1	0	0
AT1G01695.1	AT1G01725.1_20	1	0	0
AT1G01725.1	AT1G01730.1_21	1	0	0
AT1G01730.1	AT1G01800.2_22	1	0	0
AT1G01800.2	AT1G01810.1_23	1	0	0
AT1G01810.1	AT1G01910.5_24	1	0	0
AT1G01910.5	AT1G01990.1_25	1	0	0
AT1G01990.1	AT1G02020.2_26	1	0	0
AT1G02020.2	AT1G02040.1_27	2	0	0
AT1G02040.1	AT1G02065.2_28	1	0	0
AT1G02065.2	AT1G02074.1_29	1	0	0
AT1G02074.1	AT1G02145.2_30	1	0	0
AT1G02145.2	AT1G02160.2_31	1	0	0
AT1G02160.2	AT1G02205.1_32	1	0	0
AT1G02205.1	AT1G02210.1_33	1	0	0
AT1G02210.1	AT1G02290.1_34	1	0	0
AT1G02290.1	AT1G02320.1_35	1	0	0
AT1G02320.1	AT1G02335.1_36	1	0	0
AT1G02335.1	AT1G02340.1_37	35	53	29
AT1G02340.1	AT1G02350.1_38	1	0	0
AT1G02350.1	AT1G02360.1_39	1	0	0
AT1G02360.1	AT1G02391.1_40	1	0	0
AT1G02391.1	AT1G02410.1_41	1	0	0
AT1G02410.1	AT1G02490.1_42	1	0	0
AT1G02490.1	AT1G02540.1_43	1	0	0
AT1G02540.1	AT1G02590.1_44	1	0	0
AT1G02590.1	AT1G02620.1_45	1	0	0
AT1G02620.1	AT1G02700.1_46	1	0	0
AT1G02700.1	AT1G02710.1_47	1	1	1
AT1G02710.1	AT1G02950.4_48	1	0	0
AT1G02950.4	AT1G02960.3_49	1	0	0
AT1G02960.3	AT1G02965.1_50	3	0	0
AT1G02965.1	AT1G03022.1_51	1	0	0
AT1G03022.1	AT1G03030.1_52	1	0	0
AT1G03030.1	AT1G03055.2_53	1	4	1
AT1G03055.2	AT1G03106.1_54	1	0	0
AT1G03106.1	AT1G03160.2_55	1	0	0
AT1G03160.2	AT1G03240.1_56	1	0	0
AT1G03240.1	AT1G03300.1_57	2	0	0
AT1G03300.1	AT1G03320.1_58	9	0	0
AT1G03320.1	AT1G03490.1_59	1	0	0
AT1G03490.1	AT1G03530.1_60	1	0	0
AT1G03530.1	AT1G03660.1_61	1	0	0
AT1G03660.1	AT1G03687.2_62	1	0	0
AT1G03687.2	AT1G03800.1_63	2	0	0
AT1G03800.1	AT1G03820.1_64	1	0	0
AT1G03820.1	AT1G03860.2_65	1	0	0
AT1G03860.2	AT1G03910.2_66	1	0	0
AT1G03910.2	AT1G03960.2_67	2	0	0
AT1G03960.2	AT1G04070.1_68	1	0	0
AT1G04070.1	AT1G04080.2_69	2	2	0
AT1G04080.2	AT1G04171.1_70	1	0	0
AT1G04171.1	AT1G04445.1_71	1	0	0
AT1G04445.1	AT1G04501.1_72	1	0	0
AT1G04501.1	AT1G04550.1_73	1	0	0
